STUDY_ID	SAMPLE_ID	REST	MAPK8IP2	ATP1A3	RUNDC3A	CDK5R1	TLCD3B
gbm_tcga_pan_can_atlas_2018	TCGA-76-4928-01	0.2979	-0.7403	-0.7268	-0.732	-0.5335	-0.8357
gbm_tcga_pan_can_atlas_2018	TCGA-76-4927-01	-0.4344	-0.6227	-0.655	-0.5635	-0.6414	-0.6587
gbm_tcga_pan_can_atlas_2018	TCGA-76-4926-01	-0.1801	0.4702	0.2355	-0.0946	-0.2332	-0.5357
gbm_tcga_pan_can_atlas_2018	TCGA-76-4925-01	0.5191	-0.7315	-0.7425	-0.8045	-0.6141	-0.3975
gbm_tcga_pan_can_atlas_2018	TCGA-74-6584-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-74-6581-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-74-6578-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-74-6577-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-74-6575-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-74-6573-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-4W-AA9T-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-4W-AA9S-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-4W-AA9R-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-41-6646-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-41-5651-01	-1.209	1.4022	1.6225	1.2442	2.1528	2.9063
gbm_tcga_pan_can_atlas_2018	TCGA-41-4097-01	0.5641	0.1013	0.3	-0.041	-0.3538	-0.5392
gbm_tcga_pan_can_atlas_2018	TCGA-41-3915-01	1.1738	-1.0032	-0.6845	-0.7378	-0.5885	-0.8121
gbm_tcga_pan_can_atlas_2018	TCGA-41-3393-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-41-3392-01	NP	NP	NP	NP	NP	NP
